# 格式：标准名称,别名1,别名2,...
CCTV-1,CCTV1,CCTV-01,CCTV1综合,CCTV-1综合,CCTV1HD,CCTV-1HD,CCTV-1高清,CCTV1-综合
CCTV-2,CCTV2,CCTV2财经,CCTV-2财经,CCTV2HD,CCTV-2HD,CCTV-2高清
CCTV-3,CCTV3,CCTV3综艺,CCTV-3综艺,CCTV3HD,CCTV-3HD,CCTV-3高清
CCTV-4,CCTV4,CCTV4HD,CCTV-4HD,CCTV-4高清
CCTV-5,CCTV5,CCTV5体育,CCTV-5体育,CCTV5HD,CCTV-5HD,CCTV-5高清
CCTV-5+,CCTV5+,CCTV5+体育,CCTV-5+体育,CCTV5+HD,CCTV-5+HD
CCTV-6,CCTV6,CCTV6电影,CCTV-6电影,CCTV6HD,CCTV-6HD,CCTV-6高清
CCTV-7,CCTV7,CCTV7军事,CCTV-7军事,CCTV7HD,CCTV-7HD,CCTV-7高清
CCTV-8,CCTV8,CCTV8电视剧,CCTV-8电视剧,CCTV8HD,CCTV-8HD,CCTV-8高清
CCTV-9,CCTV9,CCTV9纪录,CCTV-9纪录,CCTV9HD,CCTV-9HD,CCTV-9高清
CCTV-10,CCTV10,CCTV10科教,CCTV-10科教,CCTV10HD,CCTV-10HD
CCTV-11,CCTV11,CCTV11戏曲,CCTV-11戏曲,CCTV11HD,CCTV-11HD
CCTV-12,CCTV12,CCTV12社会与法,CCTV-12社会与法,CCTV12HD,CCTV-12HD
CCTV-13,CCTV13,CCTV13新闻,CCTV-13新闻,CCTV13HD,CCTV-13HD
CCTV-14,CCTV14,CCTV14少儿,CCTV-14少儿,CCTV14HD,CCTV-14HD
CCTV-15,CCTV15,CCTV15音乐,CCTV-15音乐,CCTV15HD,CCTV-15HD
CCTV-16,CCTV16,CCTV16奥林匹克,CCTV-16奥林匹克,CCTV16HD,CCTV-16HD
CCTV-17,CCTV17,CCTV17农业农村,CCTV-17农业农村,CCTV17HD,CCTV-17HD
CCTV-4K,CCTV4K,CCTV-4K超高清
CCTV-8K,CCTV8K,CCTV-8K超高清
兵器科技,CCTV兵器,CCTV兵器科技
第一剧场,CCTV第一剧场
发现之旅,CCTV发现之旅
风云剧场,CCTV风云剧场
风云音乐,CCTV风云音乐
风云足球,CCTV风云足球
央视台球,CCTV央视台球
高尔夫网球,CCTV高尔夫网球
怀旧剧场,CCTV怀旧剧场
老故事,CCTV老故事
女性时尚,CCTV女性时尚
世界地理,CCTV世界地理
文化精品,CCTV文化精品
百姓健康,CCTV卫生健康
中学生,CCTV中学生
CETV-1,CETV1
CETV-2,CETV2
CETV-3,CETV3
CETV-4,CETV4
CGTN英语,CGTN英语新闻
CGTN俄语,CGTN俄罗斯语
广东珠江,珠江
翡翠台,TVB翡翠台
明珠台,TVB明珠台
凤凰中文,凤凰卫视中文台
凤凰香港,凤凰卫视香港台
北京卡酷少儿,卡酷少儿
北京卫视,北京卫视4K
湖南卫视,湖南卫视4K
